,length,space,has .,has %,has percent,label
17 percent,10,1,0,0,1,1
6.2 percent,11,1,1,0,1,1
0.9 percent,11,1,1,0,1,1
5.5%,4,0,1,1,0,0
10 percent,10,1,0,0,1,1
40 percent,10,1,0,0,1,1
58%,3,0,0,1,0,1
14%,3,0,0,1,0,1
Over 77%,8,1,0,1,0,0
a387%,5,0,0,1,0,0
55 percent,10,1,0,0,1,1
8%,2,0,0,1,0,1
3-4 percent,11,1,0,0,1,1
30%,3,0,0,1,0,1
23 percent,10,1,0,0,1,1
17%,3,0,0,1,0,1
45 percent,10,1,0,0,1,1
6.5 percent,11,1,1,0,1,1
19 percent,10,1,0,0,1,1
1 percent,9,1,0,0,1,1
16 percent,10,1,0,0,1,1
9 percent,9,1,0,0,1,1
2.48%,5,0,1,1,0,1
7.5%,4,0,1,1,0,0
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
FN 8720331 4%,13,2,0,1,0,0
4.5%,4,0,1,1,0,0
1.75%,5,0,1,1,0,1
81%,3,0,0,1,0,1
5 percent,9,1,0,0,1,1
1.5 percent,11,1,1,0,1,1
2.9 3.6 percent,15,2,1,0,1,0
0.6%,4,0,1,1,0,0
0.8 percent,11,1,1,0,1,1
14 percent,10,1,0,0,1,1
70%,3,0,0,1,0,1
13 percent,10,1,0,0,1,1
7.6 percent,11,1,1,0,1,1
0.5%,4,0,1,1,0,0
8.9%,4,0,1,1,0,0
90 percent,10,1,0,0,1,1
240%,4,0,0,1,0,1
5.8 6.2 percent,15,2,1,0,1,0
25%,3,0,0,1,0,1
4%,2,0,0,1,0,1
3.4%,4,0,1,1,0,0
22%,3,0,0,1,0,1
63%,3,0,0,1,0,1
19.8,4,0,1,0,0,1
12%,3,0,0,1,0,1
4.4 percent,11,1,1,0,1,1
3.5 percent,11,1,1,0,1,1
2.2%,4,0,1,1,0,0
4.2%,4,0,1,1,0,0
8.7 percent,11,1,1,0,1,1
2 percent,9,1,0,0,1,1
made least 90%,14,2,0,1,0,0
roughly 10%,11,1,0,1,0,0
15.9%,5,0,1,1,0,0
9 percent,9,1,0,0,1,1
5.7 percent,11,1,1,0,1,1
1.3%,4,0,1,1,0,0
2.7%,4,0,1,1,0,0
50 percent,10,1,0,0,1,1
24%,3,0,0,1,0,1
7.5%,4,0,1,1,0,0
0.4%,4,0,1,1,0,0
30 percent,10,1,0,0,1,1
72 percent,10,1,0,0,1,1
40%,3,0,0,1,0,1
37 percent,10,1,0,0,1,1
18 percent,10,1,0,0,1,1
5.8%,4,0,1,1,0,0
36%,3,0,0,1,0,1
18.2%,5,0,1,1,0,0
7.7%,4,0,1,1,0,0
2.5 percent,11,1,1,0,1,1
nearly 6%,9,1,0,1,0,0
margin 27.0%,12,1,1,1,0,0
3.1%,4,0,1,1,0,0
5.6%,4,0,1,1,0,0
13%,3,0,0,1,0,1
3.58 percent,12,1,1,0,1,0
51%,3,0,0,1,0,1
53%,3,0,0,1,0,1
70%,3,0,0,1,0,1
2.3%,4,0,1,1,0,0
3.2%,4,0,1,1,0,0
17 percent,10,1,0,0,1,1
61%,3,0,0,1,0,1
7.6 percent,11,1,1,0,1,1
5.5%,4,0,1,1,0,0
10 percent,10,1,0,0,1,1
40 percent,10,1,0,0,1,1
27.6%,5,0,1,1,0,0
4.85%,5,0,1,1,0,0
0.5%,4,0,1,1,0,0
This 27%,8,1,0,1,0,0
90 percent,10,1,0,0,1,1
100 0.4%,8,1,1,1,0,0
0.1%,4,0,1,1,0,0
5%,2,0,0,1,0,1
0.3%,4,0,1,1,0,0
6.2%,4,0,1,1,0,0
35 0.6%,7,1,1,1,0,0
40 0.2%,7,1,1,1,0,0
roughly 16 percent,18,2,0,0,1,0
1.7%,4,0,1,1,0,0
25%,3,0,0,1,0,1
4%,2,0,0,1,0,1
Q1 7.9%,7,1,1,1,0,0
24.2 percent,12,1,1,0,1,1
22 percent,10,1,0,0,1,1
23 percent,10,1,0,0,1,1
33.1%,5,0,1,1,0,0
0.8%,4,0,1,1,0,0
1.5%,4,0,1,1,0,0
32%,3,0,0,1,0,1
9.7%,4,0,1,1,0,0
3.35%,5,0,1,1,0,1
62%,3,0,0,1,0,1
99.8%,5,0,1,1,0,0
6 percent,9,1,0,0,1,1
38%,3,0,0,1,0,1
26%,3,0,0,1,0,1
63.4%,5,0,1,1,0,0
6.8%,4,0,1,1,0,0
23%,3,0,0,1,0,1
28.2 percent,12,1,1,0,1,1
10%,3,0,0,1,0,1
18 percent,10,1,0,0,1,1
50 percent,10,1,0,0,1,1
27.5%,5,0,1,1,0,0
60 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
500 5.1%,8,1,1,1,0,0
0.2%,4,0,1,1,0,0
50%,3,0,0,1,0,1
0.14%,5,0,1,1,0,1
76 percent,10,1,0,0,1,1
21%,3,0,0,1,0,1
15 percent,10,1,0,0,1,1
26.1%,5,0,1,1,0,0
anywhere 5 percent,18,2,0,0,1,0
0%,2,0,0,1,0,1
almost 2%,9,1,0,1,0,0
only 1%,7,1,0,1,0,0
63.5%,5,0,1,1,0,0
13%,3,0,0,1,0,1
3%,2,0,0,1,0,1
The 50%,7,1,0,1,0,0
14 percent,10,1,0,0,1,1
70%,3,0,0,1,0,1
18.5%,5,0,1,1,0,0
3.16%,5,0,1,1,0,1
20%,3,0,0,1,0,1
14%,3,0,0,1,0,1
65.0%,5,0,1,1,0,0
53 percent,10,1,0,0,1,1
5%,2,0,0,1,0,1
6%,2,0,0,1,0,1
24 percent,10,1,0,0,1,1
60%,3,0,0,1,0,1
10.5%,5,0,1,1,0,0
26.2 percent,12,1,1,0,1,0
10.0%,5,0,1,1,0,0
7.6%,4,0,1,1,0,0
4%,2,0,0,1,0,1
30%,3,0,0,1,0,1
23 percent,10,1,0,0,1,1
25 percent,10,1,0,0,1,1
-1.52%,6,0,1,1,0,0
18.6 percent,12,1,1,0,1,1
51 percent,10,1,0,0,1,1
1.52%,5,0,1,1,0,1
50 75 percent,13,2,0,0,1,0
2.9 percent,11,1,1,0,1,1
1140%,5,0,0,1,0,0
2.4%,4,0,1,1,0,0
21 percent,10,1,0,0,1,1
2 percent,9,1,0,0,1,1
around 1%,9,1,0,1,0,0
92%,3,0,0,1,0,1
1%,2,0,0,1,0,1
60 percent,10,1,0,0,1,1
1%/20%,6,0,0,1,0,0
4.2 percent,11,1,1,0,1,1
0.2 percent,11,1,1,0,1,1
less 100 percent,16,2,0,0,1,0
6.5%,4,0,1,1,0,0
50%,3,0,0,1,0,1
1.1 percent,11,1,1,0,1,1
90%,3,0,0,1,0,1
0.14%,5,0,1,1,0,1
0.3 percent,11,1,1,0,1,1
7.8 percent,11,1,1,0,1,1
12 percent,10,1,0,0,1,1
80 percent,10,1,0,0,1,1
8.5 percent,11,1,1,0,1,1
0.7 percent,11,1,1,0,1,1
1.8%,4,0,1,1,0,0
2.36%,5,0,1,1,0,1
2%,2,0,0,1,0,1
15-20%,6,0,0,1,0,1
65.4 percent,12,1,1,0,1,0
8.4 percent,11,1,1,0,1,1
roughly 4 percent,17,2,0,0,1,0
2.3%,4,0,1,1,0,0
13 percent,10,1,0,0,1,1
3.2%,4,0,1,1,0,0
1-1.5%,6,0,1,1,0,0
The 80 Percent Rule,19,3,0,0,0,0
10 percent,10,1,0,0,1,1
40 percent,10,1,0,0,1,1
20%,3,0,0,1,0,1
0.6 percent,11,1,1,0,1,1
perhaps 40%,11,1,0,1,0,0
0.5 percent,11,1,1,0,1,1
2.3%-to-2.6%,12,0,1,1,0,0
25%,3,0,0,1,0,1
3.4%,4,0,1,1,0,0
63%,3,0,0,1,0,1
2.4%,4,0,1,1,0,0
1.47%,5,0,1,1,0,1
4.46%,5,0,1,1,0,1
1 percent,9,1,0,0,1,1
2 percent,9,1,0,0,1,1
8 percent,9,1,0,0,1,1
39%,3,0,0,1,0,1
10%,3,0,0,1,0,1
50 percent,10,1,0,0,1,1
0.4%,4,0,1,1,0,0
1%,2,0,0,1,0,1
4.5%,4,0,1,1,0,0
9%,2,0,0,1,0,1
5 percent,9,1,0,0,1,1
56%,3,0,0,1,0,1
37%,3,0,0,1,0,1
nearly 8 percent,16,2,0,0,1,0
15 percent,10,1,0,0,1,1
70 percent,10,1,0,0,1,1
0.8 percent,11,1,1,0,1,1
79 percent,10,1,0,0,1,1
74%,3,0,0,1,0,1
13%,3,0,0,1,0,1
14 percent,10,1,0,0,1,1
80%,3,0,0,1,0,1
15 20%,6,1,0,1,0,0
3 percent,9,1,0,0,1,1
17 percent,10,1,0,0,1,1
82%,3,0,0,1,0,1
0.5%,4,0,1,1,0,0
40 percent,10,1,0,0,1,1
20%,3,0,0,1,0,1
Eighty percent,14,1,0,0,1,1
19%,3,0,0,1,0,1
2.75%,5,0,1,1,0,1
5%,2,0,0,1,0,1
6%,2,0,0,1,0,1
26 percent,10,1,0,0,1,1
30%,3,0,0,1,0,1
10.5%,5,0,1,1,0,0
22%,3,0,0,1,0,1
1.5%,4,0,1,1,0,0
77 percent,10,1,0,0,1,1
26%,3,0,0,1,0,1
18 percent,10,1,0,0,1,1
6.5%,4,0,1,1,0,0
2.20%,5,0,1,1,0,1
27%,3,0,0,1,0,1
3.2%,4,0,1,1,0,0
1.2%,4,0,1,1,0,0
28%,3,0,0,1,0,1
20%,3,0,0,1,0,1
42.5 percent,12,1,1,0,1,1
5%,2,0,0,1,0,1
13.5%,5,0,1,1,0,0
6%,2,0,0,1,0,1
JCI +8.3%,9,1,1,1,0,0
65%,3,0,0,1,0,1
0.8%,4,0,1,1,0,0
3.4%,4,0,1,1,0,0
32%,3,0,0,1,0,1
4.2%,4,0,1,1,0,0
47%,3,0,0,1,0,1
2 percent,9,1,0,0,1,1
0.55%,5,0,1,1,0,1
33.2%,5,0,1,1,0,0
50 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
nine percent,12,1,0,0,1,1
zero percent,12,1,0,0,1,1
15%,3,0,0,1,0,1
85%,3,0,0,1,0,1
11%,3,0,0,1,0,1
another 4%,10,1,0,1,0,0
80%,3,0,0,1,0,1
18%,3,0,0,1,0,1
10.5%,5,0,1,1,0,0
7.8%,4,0,1,1,0,0
12%,3,0,0,1,0,1
35 percent,10,1,0,0,1,1
69%,3,0,0,1,0,1
39%,3,0,0,1,0,1
50%,3,0,0,1,0,1
20 percent,10,1,0,0,1,1
500 5.6%,8,1,1,1,0,0
77%,3,0,0,1,0,1
7%,2,0,0,1,0,1
2%,2,0,0,1,0,1
3%,2,0,0,1,0,1
around 7%,9,1,0,1,0,0
around 12%,10,1,0,1,0,0
"1,800%",6,0,0,1,0,0
42 percent,10,1,0,0,1,1
1.0%,4,0,1,1,0,0
95%,3,0,0,1,0,1
-4%,3,0,0,1,0,0
8%,2,0,0,1,0,1
30%,3,0,0,1,0,1
17%,3,0,0,1,0,1
This 47%,8,1,0,1,0,0
68.4%,5,0,1,1,0,0
35%,3,0,0,1,0,1
7.3%,4,0,1,1,0,0
roughly 10%,11,1,0,1,0,0
2.39-2.41%,10,0,1,1,0,0
10%,3,0,0,1,0,1
0.4%,4,0,1,1,0,0
Roughly 95 percent,18,2,0,0,1,0
0.6%,4,0,1,1,0,0
1.9%,4,0,1,1,0,0
86%,3,0,0,1,0,1
93%,3,0,0,1,0,1
nearly 40%,10,1,0,1,0,0
90 percent,10,1,0,0,1,1
7.6%,4,0,1,1,0,0
25%,3,0,0,1,0,1
4%,2,0,0,1,0,1
25 percent,10,1,0,0,1,1
22%,3,0,0,1,0,1
1.6%,4,0,1,1,0,0
38%,3,0,0,1,0,1
26%,3,0,0,1,0,1
18 percent,10,1,0,0,1,1
60 percent,10,1,0,0,1,1
Only 16 percent,15,2,0,0,1,0
67%,3,0,0,1,0,1
36.9%,5,0,1,1,0,0
3.5%,4,0,1,1,0,0
37%,3,0,0,1,0,1
140%,4,0,0,1,0,1
51%,3,0,0,1,0,1
2.5%,4,0,1,1,0,0
another 16%,11,1,0,1,0,0
27%,3,0,0,1,0,1
28%,3,0,0,1,0,1
82%,3,0,0,1,0,1
20%,3,0,0,1,0,1
5%,2,0,0,1,0,1
0.1%,4,0,1,1,0,0
24 percent,10,1,0,0,1,1
55%,3,0,0,1,0,1
7.0%,4,0,1,1,0,0
0.8%,4,0,1,1,0,0
June 14.3%,10,1,1,1,0,0
47%,3,0,0,1,0,1
This 59%,8,1,0,1,0,0
Ninety-six percent,18,1,0,0,1,0
47 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
85%,3,0,0,1,0,1
nearly 110%,11,1,0,1,0,0
11%,3,0,0,1,0,1
Around 70%,10,1,0,1,0,0
Twenty-seven percent,20,1,0,0,1,0
91%,3,0,0,1,0,1
nearly 2%,9,1,0,1,0,0
7 percent,9,1,0,0,1,1
60%,3,0,0,1,0,1
Only 5%,7,1,0,1,0,0
39%,3,0,0,1,0,1
36.5%,5,0,1,1,0,0
50%,3,0,0,1,0,1
90%,3,0,0,1,0,1
11.8%,5,0,1,1,0,0
3%,2,0,0,1,0,1
7%,2,0,0,1,0,1
2%,2,0,0,1,0,1
28 percent,10,1,0,0,1,1
10 percent,10,1,0,0,1,1
14%,3,0,0,1,0,1
around 8.5%,11,1,1,1,0,0
250 percent,11,1,0,0,1,1
400%,4,0,0,1,0,1
95%,3,0,0,1,0,1
30%,3,0,0,1,0,1
23 percent,10,1,0,0,1,1
17%,3,0,0,1,0,1
44%,3,0,0,1,0,1
14.3%,5,0,1,1,0,0
6.5 percent,11,1,1,0,1,1
23%,3,0,0,1,0,1
7.5%,4,0,1,1,0,0
40%,3,0,0,1,0,1
4.0%,4,0,1,1,0,0
0.56%,5,0,1,1,0,1
42%,3,0,0,1,0,1
43%,3,0,0,1,0,1
13.8%,5,0,1,1,0,0
41%,3,0,0,1,0,1
around 40%,10,1,0,1,0,0
0.5%,4,0,1,1,0,0
88%,3,0,0,1,0,1
0.7%,4,0,1,1,0,0
45.7%,5,0,1,1,0,0
25%,3,0,0,1,0,1
36%-37%,7,0,0,1,0,0
98%,3,0,0,1,0,1
7.8%,4,0,1,1,0,0
70%80%,6,0,0,1,0,0
7.4%,4,0,1,1,0,0
21 percent,10,1,0,0,1,1
38%,3,0,0,1,0,1
2 percent,9,1,0,0,1,1
1 percent,9,1,0,0,1,1
8 percent,9,1,0,0,1,1
one 85%,7,1,0,1,0,0
1.3%,4,0,1,1,0,0
7.2%,4,0,1,1,0,0
0.00%,5,0,1,1,0,1
around 1%,9,1,0,1,0,0
7.5%,4,0,1,1,0,0
40%,3,0,0,1,0,1
10%,3,0,0,1,0,1
1%,2,0,0,1,0,1
4.5%,4,0,1,1,0,0
5 percent,9,1,0,0,1,1
200%,4,0,0,1,0,1
50%,3,0,0,1,0,1
0.6%,4,0,1,1,0,0
10.3%,5,0,1,1,0,0
10.4%,5,0,1,1,0,0
15%,3,0,0,1,0,1
2.5 percent,11,1,1,0,1,1
4 percent,9,1,0,0,1,1
79 percent,10,1,0,0,1,1
99%,3,0,0,1,0,1
6.7%,4,0,1,1,0,0
13%,3,0,0,1,0,1
91%,3,0,0,1,0,1
41%,3,0,0,1,0,1
46%,3,0,0,1,0,1
2.6%,4,0,1,1,0,0
3%,2,0,0,1,0,1
10.2%,5,0,1,1,0,0
3 percent,9,1,0,0,1,1
nearly 40%,10,1,0,1,0,0
16% - 18%,9,2,0,1,0,0
3.3 percent,11,1,1,0,1,1
2.6 percent,11,1,1,0,1,1
marketplaces least 50%,22,2,0,1,0,0
14%,3,0,0,1,0,1
5%,2,0,0,1,0,1
92.2%,5,0,1,1,0,0
6%,2,0,0,1,0,1
95%,3,0,0,1,0,1
60%,3,0,0,1,0,1
0.7%,4,0,1,1,0,0
5.1%,4,0,1,1,0,0
2.1%,4,0,1,1,0,0
1.7%,4,0,1,1,0,0
8.3%,4,0,1,1,0,0
8%,2,0,0,1,0,1
7.6%,4,0,1,1,0,0
30%,3,0,0,1,0,1
31%,3,0,0,1,0,1
6.9%,4,0,1,1,0,0
4.9%,4,0,1,1,0,0
5.2%,4,0,1,1,0,0
91 percent,10,1,0,0,1,1
1.5%,4,0,1,1,0,0
2.4%,4,0,1,1,0,0
1.6%,4,0,1,1,0,0
62%,3,0,0,1,0,1
16%,3,0,0,1,0,1
2.2%,4,0,1,1,0,0
12%,3,0,0,1,0,1
4.2%,4,0,1,1,0,0
47%,3,0,0,1,0,1
26%,3,0,0,1,0,1
1.3%,4,0,1,1,0,0
0.9%,4,0,1,1,0,0
2.7%,4,0,1,1,0,0
7.5%,4,0,1,1,0,0
40%,3,0,0,1,0,1
3.6%,4,0,1,1,0,0
1%,2,0,0,1,0,1
0.4%,4,0,1,1,0,0
6.5%,4,0,1,1,0,0
9%,2,0,0,1,0,1
8.5%,4,0,1,1,0,0
5 percent,9,1,0,0,1,1
0.2%,4,0,1,1,0,0
0.6%,4,0,1,1,0,0
1.10%,5,0,1,1,0,1
20 percent,10,1,0,0,1,1
15%,3,0,0,1,0,1
3.3%,4,0,1,1,0,0
1.9%,4,0,1,1,0,0
42%,3,0,0,1,0,1
40 0.9%,7,1,1,1,0,0
72%,3,0,0,1,0,1
another 19%,11,1,0,1,0,0
86%,3,0,0,1,0,1
27.2 percent,12,1,1,0,1,1
11%,3,0,0,1,0,1
2011 3.4%,9,1,1,1,0,0
1.8%,4,0,1,1,0,0
13%,3,0,0,1,0,1
2%,2,0,0,1,0,1
80%,3,0,0,1,0,1
46%,3,0,0,1,0,1
5.4%,4,0,1,1,0,0
41%,3,0,0,1,0,1
1.4%,4,0,1,1,0,0
2.5%,4,0,1,1,0,0
around 12%,10,1,0,1,0,0
3.8%,4,0,1,1,0,0
83%,3,0,0,1,0,1
0.1 percent,11,1,1,0,1,1
26.3 percent,12,1,1,0,1,1
967%,4,0,0,1,0,0
10 percent,10,1,0,0,1,1
18%,3,0,0,1,0,1
0.5%,4,0,1,1,0,0
20%,3,0,0,1,0,1
14%,3,0,0,1,0,1
58%,3,0,0,1,0,1
1.0%,4,0,1,1,0,0
0.1%,4,0,1,1,0,0
June 31.4%,10,1,1,1,0,0
0.3%,4,0,1,1,0,0
0.7%,4,0,1,1,0,0
100 1.0%,8,1,1,1,0,0
6%,2,0,0,1,0,1
8%,2,0,0,1,0,1
25%,3,0,0,1,0,1
1.1%,4,0,1,1,0,0
30%,3,0,0,1,0,1
55%,3,0,0,1,0,1
17%,3,0,0,1,0,1
0.8%,4,0,1,1,0,0
2.8%,4,0,1,1,0,0
51 percent,10,1,0,0,1,1
63%,3,0,0,1,0,1
35 0.9%,7,1,1,1,0,0
16%,3,0,0,1,0,1
12%,3,0,0,1,0,1
10%,3,0,0,1,0,1
35 0.1%,7,1,1,1,0,0
0.4%,4,0,1,1,0,0
60 percent,10,1,0,0,1,1
2 2.5 percent,13,2,1,0,1,0
6.4%,4,0,1,1,0,0
3.0%,4,0,1,1,0,0
9%,2,0,0,1,0,1
300%,4,0,0,1,0,1
8.5%,4,0,1,1,0,0
40-90%,6,0,0,1,0,0
0.2%,4,0,1,1,0,0
200%,4,0,0,1,0,1
0.6%,4,0,1,1,0,0
15%,3,0,0,1,0,1
3.3%,4,0,1,1,0,0
17.74%,6,0,1,1,0,1
80 percent,10,1,0,0,1,1
3.5%,4,0,1,1,0,0
37%,3,0,0,1,0,1
3.1%,4,0,1,1,0,0
100%,4,0,0,1,0,1
11%,3,0,0,1,0,1
13%,3,0,0,1,0,1
7%,2,0,0,1,0,1
2%,2,0,0,1,0,1
3%,2,0,0,1,0,1
41%,3,0,0,1,0,1
70%,3,0,0,1,0,1
9.8%,4,0,1,1,0,0
76%,3,0,0,1,0,1
29%,3,0,0,1,0,1
18%,3,0,0,1,0,1
5%,2,0,0,1,0,1
7.1%,4,0,1,1,0,0
0.3%,4,0,1,1,0,0
0.1%,4,0,1,1,0,0
400%,4,0,0,1,0,1
0.7%,4,0,1,1,0,0
60%,3,0,0,1,0,1
nearly 30%,10,1,0,1,0,0
8.8%,4,0,1,1,0,0
6.2%,4,0,1,1,0,0
2.9%,4,0,1,1,0,0
1.1%,4,0,1,1,0,0
25%,3,0,0,1,0,1
4.7%,4,0,1,1,0,0
30%,3,0,0,1,0,1
around 90%,10,1,0,1,0,0
-0.2%,5,0,1,1,0,0
+1.9%,5,0,1,1,0,0
2.4%,4,0,1,1,0,0
6.3%,4,0,1,1,0,0
Just 12 percent,15,2,0,0,1,0
1%,2,0,0,1,0,1
0.4%,4,0,1,1,0,0
249.3%,6,0,1,1,0,0
50%,3,0,0,1,0,1
8.1%,4,0,1,1,0,0
27.1%,5,0,1,1,0,0
fewer 15 percent,16,2,0,0,1,0
34%,3,0,0,1,0,1
1.8%,4,0,1,1,0,0
80.6%,5,0,1,1,0,0
1.4%,4,0,1,1,0,0
68.0%,5,0,1,1,0,0
70%,3,0,0,1,0,1
291.1%,6,0,1,1,0,0
3.2%,4,0,1,1,0,0
17 percent,10,1,0,0,1,1
28%,3,0,0,1,0,1
74.2%,5,0,1,1,0,0
24.8%,5,0,1,1,0,0
5%,2,0,0,1,0,1
4.7%,4,0,1,1,0,0
8.3%,4,0,1,1,0,0
4%,2,0,0,1,0,1
2.8%,4,0,1,1,0,0
-0.56%,6,0,1,1,0,0
4.5%,4,0,1,1,0,0
6.5%,4,0,1,1,0,0
50%,3,0,0,1,0,1
19.5%,5,0,1,1,0,0
3.5%,4,0,1,1,0,0
19.6%,5,0,1,1,0,0
75%,3,0,0,1,0,1
19.8%,5,0,1,1,0,0
Around 70%,10,1,0,1,0,0
6-1/2 percent,13,1,0,0,1,1
7%,2,0,0,1,0,1
2%,2,0,0,1,0,1
80%,3,0,0,1,0,1
nearly 2%,9,1,0,1,0,0
13 percent,10,1,0,0,1,1
10 percent,10,1,0,0,1,1
19.2%,5,0,1,1,0,0
around 6%,9,1,0,1,0,0
90 percent,10,1,0,0,1,1
6%,2,0,0,1,0,1
45%,3,0,0,1,0,1
5-15%,5,0,0,1,0,0
60%,3,0,0,1,0,1
95%,3,0,0,1,0,1
7.6%,4,0,1,1,0,0
30%,3,0,0,1,0,1
25 percent,10,1,0,0,1,1
1.5%,4,0,1,1,0,0
92%,3,0,0,1,0,1
18 percent,10,1,0,0,1,1
37 percent,10,1,0,0,1,1
Eighteen percent,16,1,0,0,1,0
58.7 percent,12,1,1,0,1,1
6.7%,4,0,1,1,0,0
4.6 percent,11,1,1,0,1,1
27%,3,0,0,1,0,1
12.5%,5,0,1,1,0,0
66.40 percent,13,1,1,0,1,0
20%,3,0,0,1,0,1
42.5 percent,12,1,1,0,1,1
5%,2,0,0,1,0,1
24 percent,10,1,0,0,1,1
5.9 percentage points,21,2,1,0,1,0
30.5 percent,12,1,1,0,1,1
+0.65%,6,0,1,1,0,0
around 67 percent,17,2,0,0,1,0
June 14.3%,10,1,1,1,0,0
nearly 70 percent,17,2,0,0,1,0
fewer 10%,9,1,0,1,0,0
50 percent,10,1,0,0,1,1
30 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
5.8%,4,0,1,1,0,0
3.3%,4,0,1,1,0,0
70 percent,10,1,0,0,1,1
11%,3,0,0,1,0,1
75 percent,10,1,0,0,1,1
around 0.1%,11,1,1,1,0,0
nearly 12 percent,17,2,0,0,1,0
65 percent,10,1,0,0,1,1
4.31%,5,0,1,1,0,0
9.1%,4,0,1,1,0,0
60%,3,0,0,1,0,1
7-8%,4,0,0,1,0,0
around 63 percent,17,2,0,0,1,0
11.6%,5,0,1,1,0,0
2.0%,4,0,1,1,0,0
39%,3,0,0,1,0,1
around 58 percent,17,2,0,0,1,0
Nearly 100 percent,18,2,0,0,1,0
50%,3,0,0,1,0,1
90%,3,0,0,1,0,1
8.1%,4,0,1,1,0,0
34%,3,0,0,1,0,1
56 percent,10,1,0,0,1,1
less 1%,7,1,0,1,0,0
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
1.4%,4,0,1,1,0,0
around 7%,9,1,0,1,0,0
7%,2,0,0,1,0,1
around 10 percent,17,2,0,0,1,0
10 percent,10,1,0,0,1,1
14%,3,0,0,1,0,1
40 90 percent,13,2,0,0,1,0
1.0%,4,0,1,1,0,0
63.4 percent,12,1,1,0,1,1
8.3%,4,0,1,1,0,0
8%,2,0,0,1,0,1
30%,3,0,0,1,0,1
23 percent,10,1,0,0,1,1
66 percent,10,1,0,0,1,1
9 percent,9,1,0,0,1,1
7.5%,4,0,1,1,0,0
40%,3,0,0,1,0,1
10%,3,0,0,1,0,1
0.4%,4,0,1,1,0,0
nearly additional 3 percent,27,3,0,0,1,0
0.6%,4,0,1,1,0,0
43%,3,0,0,1,0,1
13.8%,5,0,1,1,0,0
11.2%,5,0,1,1,0,0
14 percent,10,1,0,0,1,1
7.6 percent,11,1,1,0,1,1
8.9%,4,0,1,1,0,0
3.4 percent,11,1,1,0,1,1
90 percent,10,1,0,0,1,1
7.6%,4,0,1,1,0,0
4.7%,4,0,1,1,0,0
4%,2,0,0,1,0,1
28.1%,5,0,1,1,0,0
1.5%,4,0,1,1,0,0
12.3%,5,0,1,1,0,0
26%,3,0,0,1,0,1
16.1 percent,12,1,1,0,1,1
1.3%,4,0,1,1,0,0
6.5%,4,0,1,1,0,0
5.5 percent,11,1,1,0,1,1
7.25 percent,12,1,1,0,1,1
20.1%,5,0,1,1,0,0
12.6%,5,0,1,1,0,0
12.05%,6,0,1,1,0,1
37.1 percent,12,1,1,0,1,0
2.5%,4,0,1,1,0,0
27%,3,0,0,1,0,1
28%,3,0,0,1,0,1
18.1 percent,12,1,1,0,1,1
20%,3,0,0,1,0,1
19%,3,0,0,1,0,1
1.72%,5,0,1,1,0,1
12.2 percent,12,1,1,0,1,1
19.1 percent,12,1,1,0,1,0
approximately 4.0%,18,1,1,1,0,0
14.2 percent,12,1,1,0,1,1
15.9%,5,0,1,1,0,0
5.7 percent,11,1,1,0,1,1
30 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
71.5%,5,0,1,1,0,0
15%,3,0,0,1,0,1
almost 30%,10,1,0,1,0,0
21.4 percent,12,1,1,0,1,1
57%,3,0,0,1,0,1
39.6%,5,0,1,1,0,0
75%,3,0,0,1,0,1
12.17%,6,0,1,1,0,1
35.5 percent,12,1,1,0,1,0
75 percent,10,1,0,0,1,1
16.5%,5,0,1,1,0,0
18.5%,5,0,1,1,0,0
73.1%,5,0,1,1,0,0
19.7 percent,12,1,1,0,1,1
18%,3,0,0,1,0,1
20.9 percent,12,1,1,0,1,0
25%-30%,7,0,0,1,0,0
1.73%,5,0,1,1,0,1
4.8 percent,11,1,1,0,1,1
1.7%,4,0,1,1,0,0
43 percent,10,1,0,0,1,1
12%,3,0,0,1,0,1
35 percent,10,1,0,0,1,1
16.5 percent,12,1,1,0,1,1
11.3 percent,12,1,1,0,1,1
24%,3,0,0,1,0,1
24.5 percent,12,1,1,0,1,0
15.3 percent,12,1,1,0,1,1
21%,3,0,0,1,0,1
19.4 percent,12,1,1,0,1,1
1.8 percent,11,1,1,0,1,1
13.8 percent,12,1,1,0,1,1
7%,2,0,0,1,0,1
3%,2,0,0,1,0,1
1.4%,4,0,1,1,0,0
12.09%,6,0,1,1,0,1
2%,2,0,0,1,0,1
12.4%,5,0,1,1,0,0
28 percent,10,1,0,0,1,1
10 percent,10,1,0,0,1,1
11.2 percent,12,1,1,0,1,1
approximately 3%,16,1,0,1,0,0
five percent,12,1,0,0,1,1
6.9 percent,11,1,1,0,1,1
0.3%,4,0,1,1,0,0
95%,3,0,0,1,0,1
32.7%,5,0,1,1,0,0
1.1%,4,0,1,1,0,0
17%,3,0,0,1,0,1
23.4%,5,0,1,1,0,0
35%,3,0,0,1,0,1
4.00 percent,12,1,1,0,1,1
10%,3,0,0,1,0,1
1.05%,5,0,1,1,0,1
72 percent,10,1,0,0,1,1
0.6%,4,0,1,1,0,0
